2026-08-23 05:42:03 startup archives install
2026-08-23 05:42:03 install base-passwd:amd64 <none> 3.6.7
2026-08-23 05:42:03 status half-installed base-passwd:amd64 3.6.7
2026-08-23 05:42:03 status unpacked base-passwd:amd64 3.6.7
2026-08-23 05:42:03 configure base-passwd:amd64 3.6.7 3.6.7
2026-08-23 05:42:03 status half-configured base-passwd:amd64 3.6.7
2026-08-23 05:42:03 status installed base-passwd:amd64 3.6.7
2026-08-23 05:42:03 startup archives install
2026-08-23 05:42:03 install base-files:amd64 <none> 13.8+deb13u6
2026-08-23 05:42:03 status half-installed base-files:amd64 13.8+deb13u6
2026-08-23 05:42:03 status unpacked base-files:amd64 13.8+deb13u6
2026-08-23 05:42:03 configure base-files:amd64 13.8+deb13u6 13.8+deb13u6
2026-08-23 05:42:03 status half-configured base-files:amd64 13.8+deb13u6
2026-08-23 05:42:03 status installed base-files:amd64 13.8+deb13u6
2026-08-23 05:42:03 startup archives install
2026-08-23 05:42:03 upgrade dpkg 1.22.22 1.22.22
2026-08-23 05:42:03 status half-configured dpkg 1.22.22
2026-08-23 05:42:03 status unpacked dpkg 1.22.22
2026-08-23 05:42:03 status half-installed dpkg 1.22.22
2026-08-23 05:42:03 status unpacked dpkg:amd64 1.22.22
2026-08-23 05:42:03 configure dpkg:amd64 1.22.22 1.22.22
2026-08-23 05:42:03 status half-configured dpkg:amd64 1.22.22
2026-08-23 05:42:03 status installed dpkg:amd64 1.22.22
2026-08-23 05:42:03 startup archives install
2026-08-23 05:42:03 install libc6:amd64 <none> 2.41-12+deb13u3
2026-08-23 05:42:03 status half-installed libc6:amd64 2.41-12+deb13u3
2026-08-23 05:42:04 status unpacked libc6:amd64 2.41-12+deb13u3
2026-08-23 05:42:04 configure libc6:amd64 2.41-12+deb13u3 2.41-12+deb13u3
2026-08-23 05:42:04 status half-configured libc6:amd64 2.41-12+deb13u3
2026-08-23 05:42:04 status installed libc6:amd64 2.41-12+deb13u3
2026-08-23 05:42:04 startup archives install
